Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","004","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","4.12","E","Estimated value",""
"RFN","Fertilizers by Nutrient","004","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","0.9","E","Estimated value",""
"RFN","Fertilizers by Nutrient","004","Afghanistan","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","0.01","E","Estimated value",""
"RFN","Fertilizers by Nutrient","012","Algeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","8.25","E","Estimated value",""
"RFN","Fertilizers by Nutrient","012","Algeria","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","6.91","E","Estimated value",""
"RFN","Fertilizers by Nutrient","012","Algeria","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","3.14","E","Estimated value",""
"RFN","Fertilizers by Nutrient","024","Angola","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","3.62","E","Estimated value",""
"RFN","Fertilizers by Nutrient","024","Angola","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","1.21","E","Estimated value",""
"RFN","Fertilizers by Nutrient","024","Angola","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","1.51","E","Estimated value",""
"RFN","Fertilizers by Nutrient","028","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","0.91","E","Estimated value",""
"RFN","Fertilizers by Nutrient","028","Antigua and Barbuda","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","2.32","E","Estimated value",""
"RFN","Fertilizers by Nutrient","028","Antigua and Barbuda","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","3.44","E","Estimated value",""
"RFN","Fertilizers by Nutrient","032","Argentina","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","47.7","E","Estimated value",""
"RFN","Fertilizers by Nutrient","032","Argentina","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","25.47","E","Estimated value",""
"RFN","Fertilizers by Nutrient","032","Argentina","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","2.33","E","Estimated value",""
"RFN","Fertilizers by Nutrient","051","Armenia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","178.88","E","Estimated value",""
"RFN","Fertilizers by Nutrient","051","Armenia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","0.05","E","Estimated value",""
"RFN","Fertilizers by Nutrient","051","Armenia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","0.42","E","Estimated value",""
"RFN","Fertilizers by Nutrient","533","Aruba","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","2.65","E","Estimated value",""
"RFN","Fertilizers by Nutrient","533","Aruba","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","0.76","E","Estimated value",""
"RFN","Fertilizers by Nutrient","533","Aruba","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","0.45","E","Estimated value",""
"RFN","Fertilizers by Nutrient","036","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","38.04","E","Estimated value",""
"RFN","Fertilizers by Nutrient","036","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","21.18","E","Estimated value",""
"RFN","Fertilizers by Nutrient","036","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","7.28","E","Estimated value",""
"RFN","Fertilizers by Nutrient","040","Austria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","69.07","E","Estimated value",""
"RFN","Fertilizers by Nutrient","040","Austria","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","17.19","E","Estimated value",""
"RFN","Fertilizers by Nutrient","040","Austria","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","23.8","E","Estimated value",""
"RFN","Fertilizers by Nutrient","031","Azerbaijan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","89.88","E","Estimated value",""
"RFN","Fertilizers by Nutrient","031","Azerbaijan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","0.22","E","Estimated value",""
"RFN","Fertilizers by Nutrient","031","Azerbaijan","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","3.25","E","Estimated value",""
"RFN","Fertilizers by Nutrient","044","Bahamas","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","41.1","E","Estimated value",""
"RFN","Fertilizers by Nutrient","044","Bahamas","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","16.24","E","Estimated value",""
"RFN","Fertilizers by Nutrient","044","Bahamas","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","17.08","E","Estimated value",""
"RFN","Fertilizers by Nutrient","048","Bahrain","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","37.79","E","Estimated value",""
"RFN","Fertilizers by Nutrient","048","Bahrain","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","18.53","E","Estimated value",""
"RFN","Fertilizers by Nutrient","048","Bahrain","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","127.23","E","Estimated value",""
"RFN","Fertilizers by Nutrient","050","Bangladesh","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","161.42","E","Estimated value",""
"RFN","Fertilizers by Nutrient","050","Bangladesh","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","117.62","E","Estimated value",""
"RFN","Fertilizers by Nutrient","050","Bangladesh","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","50.06","E","Estimated value",""
"RFN","Fertilizers by Nutrient","052","Barbados","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","13.48","E","Estimated value",""
"RFN","Fertilizers by Nutrient","052","Barbados","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","15.3","E","Estimated value",""
"RFN","Fertilizers by Nutrient","052","Barbados","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","3.77","E","Estimated value",""
"RFN","Fertilizers by Nutrient","112","Belarus","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","74.83","E","Estimated value",""
