Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4002","Ammonium sulphate","2021","2021","t","19265.64","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2021","2021","t","247673.76","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4030","Fertilizers n.e.c.","2021","2021","t","9858.08","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4021","NPK fertilizers","2021","2021","t","130204.84","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2021","2021","t","9614.52","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4018","Other potassic fertilizers, n.e.c.","2021","2021","t","13359.18","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2021","2021","t","29380.02","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4017","Potassium sulphate (sulphate of potash) (SOP)","2021","2021","t","6317.82","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4001","Urea","2021","2021","t","19053.49","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4006","Urea and ammonium nitrate solutions (UAN)","2021","2021","t","2630.96","A","Official figure"
"RFB","Fertilizers by Product","048","Bahrain","5157","Agricultural Use","4002","Ammonium sulphate","2021","2021","t","2","A","Official figure"
"RFB","Fertilizers by Product","048","Bahrain","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2021","2021","t","32.01","A","Official figure"
"RFB","Fertilizers by Product","048","Bahrain","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2021","2021","t","52.71","A","Official figure"
"RFB","Fertilizers by Product","048","Bahrain","5157","Agricultural Use","4030","Fertilizers n.e.c.","2021","2021","t","205.59","A","Official figure"
"RFB","Fertilizers by Product","048","Bahrain","5157","Agricultural Use","4021","NPK fertilizers","2021","2021","t","753.74","A","Official figure"
