Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","008","Albania","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","1.1","E","Estimated value",""
"RP","Pesticides Use","012","Algeria","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","0.71","E","Estimated value",""
"RP","Pesticides Use","020","Andorra","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","17.04","E","Estimated value",""
"RP","Pesticides Use","024","Angola","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","0.01","E","Estimated value",""
"RP","Pesticides Use","032","Argentina","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","5.58","E","Estimated value",""
"RP","Pesticides Use","051","Armenia","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","1.81","E","Estimated value",""
"RP","Pesticides Use","036","Australia","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","2","E","Estimated value",""
"RP","Pesticides Use","040","Austria","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","4.22","E","Estimated value",""
"RP","Pesticides Use","031","Azerbaijan","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","0.23","E","Estimated value",""
"RP","Pesticides Use","048","Bahrain","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","2.94","E","Estimated value",""
"RP","Pesticides Use","050","Bangladesh","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","1.64","E","Estimated value",""
"RP","Pesticides Use","112","Belarus","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","0.17","E","Estimated value",""
"RP","Pesticides Use","056","Belgium","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","6.42","E","Estimated value",""
"RP","Pesticides Use","084","Belize","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","8.51","E","Estimated value",""
"RP","Pesticides Use","204","Benin","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","1","E","Estimated value",""
"RP","Pesticides Use","064","Bhutan","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","0.35","E","Estimated value",""
