Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","40099.462","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","28674.023","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","10239.684","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","2854.71","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","1090.487","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","1854.317","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","44177.969","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","11317.455","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","32651.848","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","45.035","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","7.172","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","48.727","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","79.034","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","9.383","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","67.893","X","Figure from international organizations",""
"OA","Annual population","024","Angola","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","34503.774","X","Figure from international organizations",""
"OA","Annual population","024","Angola","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","11029.326","X","Figure from international organizations",""
"OA","Annual population","024","Angola","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","22865.158","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","15.753","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","0","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","15.38","X","Figure from international organizations",""
