Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FS,Suite of Food Security Indicators,108,Burundi,6132,Value,210260,Number of children under 5 years affected by wasting (million),2022,2022,million No,0.1,X,Figure from international organizations,
FS,Suite of Food Security Indicators,148,Chad,6132,Value,210260,Number of children under 5 years affected by wasting (million),2022,2022,million No,0.3,X,Figure from international organizations,
FS,Suite of Food Security Indicators,404,Kenya,6132,Value,210260,Number of children under 5 years affected by wasting (million),2022,2022,million No,0.3,X,Figure from international organizations,
FS,Suite of Food Security Indicators,466,Mali,6132,Value,210260,Number of children under 5 years affected by wasting (million),2022,2022,million No,0.4,X,Figure from international organizations,
FS,Suite of Food Security Indicators,478,Mauritania,6132,Value,210260,Number of children under 5 years affected by wasting (million),2022,2022,million No,0.1,X,Figure from international organizations,
FS,Suite of Food Security Indicators,524,Nepal,6132,Value,210260,Number of children under 5 years affected by wasting (million),2022,2022,million No,0.2,X,Figure from international organizations,
FS,Suite of Food Security Indicators,562,Niger,6132,Value,210260,Number of children under 5 years affected by wasting (million),2022,2022,million No,0.6,X,Figure from international organizations,
FS,Suite of Food Security Indicators,834,United Republic of Tanzania,6132,Value,210260,Number of children under 5 years affected by wasting (million),2022,2022,million No,0.4,X,Figure from international organizations,
FS,Suite of Food Security Indicators,4,Afghanistan,6132,Value,210410,Number of children under 5 years of age who are overweight (modeled estimates) (million),2022,2022,million No,0.2,X,Figure from international organizations,
FS,Suite of Food Security Indicators,8,Albania,6132,Value,210410,Number of children under 5 years of age who are overweight (modeled estimates) (million),2022,2022,million No,<0.1,X,Figure from international organizations,
FS,Suite of Food Security Indicators,12,Algeria,6132,Value,210410,Number of children under 5 years of age who are overweight (modeled estimates) (million),2022,2022,million No,0.6,X,Figure from international organizations,
FS,Suite of Food Security Indicators,24,Angola,6132,Value,210410,Number of children under 5 years of age who are overweight (modeled estimates) (million),2022,2022,million No,0.2,X,Figure from international organizations,
FS,Suite of Food Security Indicators,32,Argentina,6132,Value,210410,Number of children under 5 years of age who are overweight (modeled estimates) (million),2022,2022,million No,0.4,X,Figure from international organizations,
FS,Suite of Food Security Indicators,51,Armenia,6132,Value,210410,Number of children under 5 years of age who are overweight (modeled estimates) (million),2022,2022,million No,<0.1,X,Figure from international organizations,
FS,Suite of Food Security Indicators,36,Australia,6132,Value,210410,Number of children under 5 years of age who are overweight (modeled estimates) (million),2022,2022,million No,0.3,X,Figure from international organizations,
FS,Suite of Food Security Indicators,31,Azerbaijan,6132,Value,210410,Number of children under 5 years of age who are overweight (modeled estimates) (million),2022,2022,million No,0.1,X,Figure from international organizations,
FS,Suite of Food Security Indicators,50,Bangladesh,6132,Value,210410,Number of children under 5 years of age who are overweight (modeled estimates) (million),2022,2022,million No,0.3,X,Figure from international organizations,
FS,Suite of Food Security Indicators,52,Barbados,6132,Value,210410,Number of children under 5 years of age who are overweight (modeled estimates) (million),2022,2022,million No,<0.1,X,Figure from international organizations,
