Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01371","Almonds, in shell","2022","2022","t","64000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","t","17883.38","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01341","Apples","2022","2022","t","318000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01343","Apricots","2022","2022","t","170507.92","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2022","2022","t","110000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01229","Cantaloupes and other melons","2022","2022","t","809194.26","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21512","Cattle fat, unrendered","2022","2022","t","2002.72","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2022","2022","t","14327.13","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2022","2022","t","9221.22","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2022","2022","t","20825","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21159.02","Edible offals of camels and other camelids, fresh, chilled or frozen","2022","2022","t","544.32","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21519.02","Fat of camels","2022","2022","t","254.01","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01315","Figs","2022","2022","t","29437.38","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21170.02","Game meat, fresh, chilled or frozen","2022","2022","t","8010.44","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21515","Goat fat, unrendered","2022","2022","t","1747.18","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","2022","2022","t","910000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0231","Hen eggs in shell, fresh","2022","2022","t","21564.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5513","Production","0231","Hen eggs in shell, fresh","2022","2022","1000 No","431288","E","Estimated value",""
