Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note,,,,
FS,Suite of Food Security Indicators,4,Afghanistan,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,1516.3,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,8,Albania,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,14516.3,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,12,Algeria,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,11039.8,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,24,Angola,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,5908.6,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,28,Antigua and Barbuda,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,19124.4,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,32,Argentina,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,21527.2,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,51,Armenia,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,14193.1,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,36,Australia,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,49774.3,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,40,Austria,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,54121.1,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,31,Azerbaijan,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,14431.7,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,44,Bahamas,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,30210.2,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,48,Bahrain,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,49387.4,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,50,Bangladesh,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,5911,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,52,Barbados,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,13754.8,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,112,Belarus,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,19751.2,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,56,Belgium,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,51739.5,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,84,Belize,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,8762.6,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,204,Benin,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,3321.6,X,Figure from international organizations,,,,,
FS,Suite of Food Security Indicators,60,Bermuda,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,80271.1,X,Figure from international organizations,,,,,
