Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FS,Suite of Food Security Indicators,4,Afghanistan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-2.53,X,Figure from international organizations,
FS,Suite of Food Security Indicators,4,Afghanistan,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,31,E,Estimated value,
FS,Suite of Food Security Indicators,8,Albania,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,0.11,X,Figure from international organizations,
FS,Suite of Food Security Indicators,8,Albania,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,13,E,Estimated value,
FS,Suite of Food Security Indicators,12,Algeria,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-0.88,X,Figure from international organizations,
FS,Suite of Food Security Indicators,12,Algeria,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,45,E,Estimated value,
FS,Suite of Food Security Indicators,16,American Samoa,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,1.05,X,Figure from international organizations,
FS,Suite of Food Security Indicators,20,Andorra,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,1.63,X,Figure from international organizations,
FS,Suite of Food Security Indicators,24,Angola,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-0.71,X,Figure from international organizations,
FS,Suite of Food Security Indicators,24,Angola,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,8,E,Estimated value,
FS,Suite of Food Security Indicators,28,Antigua and Barbuda,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,0.96,X,Figure from international organizations,
FS,Suite of Food Security Indicators,32,Argentina,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-0.11,X,Figure from international organizations,
FS,Suite of Food Security Indicators,32,Argentina,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,11,E,Estimated value,
FS,Suite of Food Security Indicators,51,Armenia,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-0.84,X,Figure from international organizations,
FS,Suite of Food Security Indicators,51,Armenia,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,38,E,Estimated value,
FS,Suite of Food Security Indicators,36,Australia,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,0.85,X,Figure from international organizations,
FS,Suite of Food Security Indicators,36,Australia,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,38,E,Estimated value,
FS,Suite of Food Security Indicators,40,Austria,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,0.91,X,Figure from international organizations,
FS,Suite of Food Security Indicators,40,Austria,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,33,E,Estimated value,
FS,Suite of Food Security Indicators,31,Azerbaijan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-0.85,X,Figure from international organizations,
FS,Suite of Food Security Indicators,31,Azerbaijan,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,77,E,Estimated value,
FS,Suite of Food Security Indicators,44,Bahamas,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,0.88,X,Figure from international organizations,
FS,Suite of Food Security Indicators,48,Bahrain,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-0.51,X,Figure from international organizations,
FS,Suite of Food Security Indicators,50,Bangladesh,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-0.97,X,Figure from international organizations,
FS,Suite of Food Security Indicators,50,Bangladesh,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,34,E,Estimated value,
FS,Suite of Food Security Indicators,52,Barbados,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,1.12,X,Figure from international organizations,
FS,Suite of Food Security Indicators,52,Barbados,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,24,E,Estimated value,
FS,Suite of Food Security Indicators,112,Belarus,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-0.74,X,Figure from international organizations,
FS,Suite of Food Security Indicators,112,Belarus,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,25,E,Estimated value,
FS,Suite of Food Security Indicators,56,Belgium,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,0.61,X,Figure from international organizations,
FS,Suite of Food Security Indicators,56,Belgium,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,31,E,Estimated value,
FS,Suite of Food Security Indicators,84,Belize,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,0.46,X,Figure from international organizations,
FS,Suite of Food Security Indicators,84,Belize,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,41,E,Estimated value,
FS,Suite of Food Security Indicators,204,Benin,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-0.3,X,Figure from international organizations,
FS,Suite of Food Security Indicators,204,Benin,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,26,E,Estimated value,
FS,Suite of Food Security Indicators,60,Bermuda,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,1.01,X,Figure from international organizations,
FS,Suite of Food Security Indicators,64,Bhutan,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,0.97,X,Figure from international organizations,
FS,Suite of Food Security Indicators,68,Bolivia (Plurinational State of),6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-0.32,X,Figure from international organizations,
FS,Suite of Food Security Indicators,68,Bolivia (Plurinational State of),6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,18,E,Estimated value,
FS,Suite of Food Security Indicators,70,Bosnia and Herzegovina,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-0.38,X,Figure from international organizations,
FS,Suite of Food Security Indicators,70,Bosnia and Herzegovina,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,37,E,Estimated value,
FS,Suite of Food Security Indicators,72,Botswana,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,0.98,X,Figure from international organizations,
FS,Suite of Food Security Indicators,72,Botswana,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,22,E,Estimated value,
FS,Suite of Food Security Indicators,76,Brazil,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-0.49,X,Figure from international organizations,
FS,Suite of Food Security Indicators,76,Brazil,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,27,E,Estimated value,
FS,Suite of Food Security Indicators,96,Brunei Darussalam,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,1.17,X,Figure from international organizations,
FS,Suite of Food Security Indicators,100,Bulgaria,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,0.46,X,Figure from international organizations,
FS,Suite of Food Security Indicators,100,Bulgaria,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,14,E,Estimated value,
FS,Suite of Food Security Indicators,854,Burkina Faso,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-1.64,X,Figure from international organizations,
FS,Suite of Food Security Indicators,854,Burkina Faso,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,27,E,Estimated value,
FS,Suite of Food Security Indicators,108,Burundi,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-1.36,X,Figure from international organizations,
FS,Suite of Food Security Indicators,132,Cabo Verde,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,0.9,X,Figure from international organizations,
FS,Suite of Food Security Indicators,132,Cabo Verde,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,38,E,Estimated value,
FS,Suite of Food Security Indicators,116,Cambodia,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-0.13,X,Figure from international organizations,
FS,Suite of Food Security Indicators,116,Cambodia,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,40,E,Estimated value,
FS,Suite of Food Security Indicators,120,Cameroon,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-1.41,X,Figure from international organizations,
FS,Suite of Food Security Indicators,120,Cameroon,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,47,E,Estimated value,
FS,Suite of Food Security Indicators,124,Canada,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,0.94,X,Figure from international organizations,
FS,Suite of Food Security Indicators,124,Canada,6128,Value,21031,Per capita food supply variability (kcal/cap/day),2021,2021,kcal/pc/d,25,E,Estimated value,
FS,Suite of Food Security Indicators,140,Central African Republic,6125,Value,21032,Political stability and absence of violence/terrorism (index),2021,2021,Index,-2.1,X,Figure from international organizations,
